Designator,Comment,Footprint,Manufacturer Part Number
IC1,XL6009 BOOST MODULE,PCBCOMPONENT_1,
J1,USB4145-03-0070-C,USB4145030070C,USB4145-03-0070-C
Q7,SQ2318AES-T1_BE3,SQ2318AES-T1_BE3-FOOTPRINT-1,
"S1, S6",SLW-1477944-3A-S-D,SLW14779443ASD,SLW-1477944-3A-S-D
"R8, R9, R10, R11, R18, R21, R23, R24, R25",NC,RES_1206,
BTN1,EVQ-P2402W,EVQP2402W,EVQ-P2402W
"C5, C10, C11, C12",EEE-FT1V561AP,EEE0JA152UAP,EEE-FT1V561AP
"Q1, Q2",DMP3007LK3-13,DMP3007LK313,DMP3007LK3-13
IC2,CYPD3177-24LQXQ,QFN50P400X400X60-25N-D,CYPD3177-24LQXQ
"D3, D4",BZT52C24-E3-08,BZT52C24E308,BZT52C24-E3-08
D2,BZT52C15-E3-08,SOD3716X135N,BZT52C15-E3-08
LED2,APHCM2012CGCK-F01,LEDC2012X50N,APHCM2012CGCK-F01
J2,61300711121,HDRV7W64P0X254_1X7_1778X254X869P,61300711121
P13,2834085-1,2834085-1-FOOTPRINT-1,
J4,24.243.4,242434,24.243.2
J3,24.243.1,242431,24.243.1
J5,1714955,1714955,1714955
J6,NC,2159310270,215931-0270
LED1,150080SS75000,150080SS75000,150080SS75000
"C8, C9",390P,CAP_1206,CC1206JRNPOBBN391
"C6, C13",100N,CAP_1206,KAF31BR71H104KT
"R2, R75",100K,RES_1206,RC1206FR-7W100KL
R63,100,RES_1206,RC1206FR-07100RL
R5,47K,RES_1206,RC1206FR-1347K5L
C37,10U 10V,CAP_1206,TM8R106K010UBA
R4,10K,RES_1206,RC1206FR-0710KL
"R12, R14, R17, R26, R27",5.1K 1%,RES_1206,RCC12065K10FKEA 
C1,3.3U,CAP_1206,SMDTD04330XA00KT00
"R6, R16, R20",2.4K 1%,RES_1206,RC1206FR-7W2K4L
"C2, C3, C4, C7",1U,CAP_1206,C1206C105J3RAC
"R15, R19",1.0K 1%,RES_1206,RC1206FR-7W1KL
"R1, R3, R28",1K,RES_1206,RC1206FR-7W1KL
"R7, R13, R22",0R,RES_1206,RC1206FR-130RL
DS7,B360A-13-F,SMA-DO-214AC,
,,,
,,,
,,,
,,,
