Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Amperry_2_module_powerbank\Project Outputs for Amperry_2_module_powerbank\Gerber\Pick Place for amperryPOC_panel.txt

========================================================================================================================
File Design Information:

Date:       15/10/25
Time:       14:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                      
C13        100n                   TopLayer    cap_1206                           2590.551      4200.551      270      ""                                                                               
J6         215931-0270            BottomLayer 2159310270                         1113.504      3134.095      90       Connector                                                                        
C12        EEE-FT1V561AP          BottomLayer EEE0JA152UAP                       2844.894      2460.551      270      "Capacitor Polarised"                                                            
C11        EEE-FT1V561AP          BottomLayer EEE0JA152UAP                       2070.551      2480.551      90       "Capacitor Polarised"                                                            
C10        EEE-FT1V561AP          BottomLayer EEE0JA152UAP                       2093.378      3043.628      0        "Capacitor Polarised"                                                            
C5         EEE-FT1V561AP          BottomLayer EEE0JA152UAP                       1010.551      2480.551      90       "Capacitor Polarised"                                                            
IC1        "XL6009 boost module"  BottomLayer PCBComponent_1                     1503.041      4258.051      0        ""                                                                               
R28        1k                     TopLayer    res_1206                           3385.701      6087.087      0        ""                                                                               
LED2       APHCM2012CGCK-F01      TopLayer    LEDC2012X50N                       3150.551      6090.552      180      LED                                                                              
R6         "2.4k 1%"              TopLayer    res_1206                           3390.532      5947.087      0        ""                                                                               
J5         1714955                TopLayer    1714955                            3660.551      3305.551      90       Connector                                                                        
J4         24.243.4               TopLayer    242434                             3615.669      2250.551      180      Connector                                                                        
J3         24.243.1               TopLayer    242431                             3615.669      2740.551      180      Connector                                                                        
R27        "5.1k 1%"              TopLayer    res_1206                           3320.996      5510.394      270      ""                                                                               
R26        "5.1k 1%"              TopLayer    res_1206                           2490.996      2630.394      270      ""                                                                               
R25        NC                     TopLayer    res_1206                           2660.394      2580.106      180      ""                                                                               
R24        NC                     TopLayer    res_1206                           3440.106      5510.708      90       ""                                                                               
R23        NC                     TopLayer    res_1206                           2660.708      2690.996      0        ""                                                                               
R22        0R                     TopLayer    res_1206                           2750.394      2370.106      180      ""                                                                               
R21        NC                     TopLayer    res_1206                           2800.996      2200.394      270      ""                                                                               
R20        "5.1k 1%"              TopLayer    res_1206                           2690.996      2200.394      270      ""                                                                               
R19        "1.0k 1%"              TopLayer    res_1206                           2580.996      2200.394      270      ""                                                                               
R18        NC                     TopLayer    res_1206                           3390.106      820.708       90       ""                                                                               
R17        "5.1k 1%"              TopLayer    res_1206                           3280.106      820.708       90       ""                                                                               
R16        "2.4k 1%"              TopLayer    res_1206                           3170.106      820.708       90       ""                                                                               
R15        "1.0k 1%"              TopLayer    res_1206                           3060.106      820.708       90       ""                                                                               
R14        "5.1k 1%"              TopLayer    res_1206                           2910.106      2200.709      90       ""                                                                               
R13        0R                     TopLayer    res_1206                           2470.996      2200.394      270      ""                                                                               
R12        "5.1k 1%"              TopLayer    res_1206                           2820.106      2624.161      90       ""                                                                               
S6         SLW-1477944-3A-S-D     TopLayer    SLW14779443ASD                     2785.040      1441.102      270      Switch                                                                           
S1         SLW-1477944-3A-S-D     TopLayer    SLW14779443ASD                     3409.842      1441.102      270      Switch                                                                           
