Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (°)
C13,65.7999954,106.6939954,TopLayer,270.0
J6,79.60601299999999,2.286,BottomLayer 2159310270,90.0
C12,62.49799539999999,6.858,BottomLayer EEE0JA152UAP,270.0
C11,63.005995399999996,2.286,BottomLayer EEE0JA152UAP,90.0
C10,77.3081512,0.0,BottomLayer EEE0JA152UAP,0.0
C5,63.005995399999996,2.286,BottomLayer EEE0JA152UAP,90.0
IC1,108.1544954,0.0,BottomLayer PCBComponent_1,0.0
R28,85.9968054,154.6120098,TopLayer,0.0
LED2,80.02399539999999,154.70002079999998,TopLayer,180.0
R6,86.1195128,151.0560098,TopLayer,0.0
J5,92.9779954,83.9609954,TopLayer,90.0
J4,91.83799259999999,57.1639954,TopLayer,180.0
J3,91.83799259999999,69.6099954,TopLayer,180.0
R27,84.3532984,139.9640076,TopLayer,270.0
R26,63.2712984,66.81200759999999,TopLayer,270.0
R25,67.57400759999999,65.5346924,TopLayer,180.0
R24,87.3786924,139.97198319999998,TopLayer,90.0
R23,67.5819832,68.3512984,TopLayer,0.0
R22,69.86000759999999,60.2006924,TopLayer,180.0
R21,71.1452984,55.89000759999999,TopLayer,270.0
R20,68.3512984,55.89000759999999,TopLayer,270.0
R19,65.5572984,55.89000759999999,TopLayer,270.0
R18,86.1086924,20.8459832,TopLayer,90.0
R17,83.3146924,20.8459832,TopLayer,90.0
R16,80.5206924,20.8459832,TopLayer,90.0
R15,77.7266924,20.8459832,TopLayer,90.0
R14,73.9166924,55.89800859999999,TopLayer,90.0
R13,62.7632984,55.89000759999999,TopLayer,270.0
R12,71.6306924,66.6536894,TopLayer,90.0
S6,70.740016,36.6039908,TopLayer,270.0
S1,86.6099868,36.6039908,TopLayer,270.0
R11,94.4906924,139.20998319999998,TopLayer,90.0
R10,92.2046924,135.9079832,TopLayer,90.0
R9,88.91399539999999,132.62843679999997,TopLayer,90.0
R8,89.9412984,123.4540076,TopLayer,270.0
LED1,80.1508176,151.04468139999997,TopLayer,180.0
J2,101.8679954,130.5699954,TopLayer,90.0
R5,85.6232984,113.8020076,TopLayer,270.0
R4,91.1720046,102.6412984,TopLayer,0.0
R7,85.1152984,100.8190008,TopLayer,270.0
Q2,94.02099559999999,113.5509794,TopLayer,270.0
Q1,94.06201659999999,96.534986,TopLayer,270.0
J1,76.9999984,89.99999779999999,TopLayer,90.0
D4,80.3669716,80.5000168,TopLayer,270.0
D3,97.5499954,105.93202079999999,TopLayer,0.0
D2,82.56397,113.8059954,TopLayer,90.0
C9,67.5385238,94.35015419999999,TopLayer,0.0
C8,67.57799539999999,91.96197000000001,TopLayer,0.0
C7,79.2620208,99.83599539999999,TopLayer,90.0
C6,72.086978,97.04197,TopLayer,0.0
C4,72.1499954,99.5819954,TopLayer,0.0
C3,84.34197,80.5320208,TopLayer,90.0
R3,82.8219832,104.6732984,TopLayer,0.0
IC2,75.1979954,104.22999219999998,TopLayer,180.0
BTN1,40.399969999999996,19.5719954,TopLayer,90.0
Q7,48.52802079999999,30.8473094,TopLayer,180.0
R2,57.6606924,24.910008599999998,TopLayer,90.0
R1,51.3332984,24.902007599999997,TopLayer,270.0
C37,54.6239954,24.905995400000002,TopLayer,270.0
Sol1B-,34.6380054,2.286,BottomLayer TPH120,
Sol1B+,34.638030799999996,2.286,BottomLayer TPH120,
Fid3,4.9999899999999995,4.9999899999999995,TopLayer,90.0
Fid2,4.9999899999999995,4.9999899999999995,TopLayer,90.0
Fid1,4.9999899999999995,4.9999899999999995,TopLayer,90.0
S3,4.9999899999999995,4.572,BottomLayer M4_Screw-Footprint-1,
S5,4.9999899999999995,4.572,BottomLayer M4_Screw-Footprint-1,
S4,4.9999899999999995,4.572,BottomLayer M4_Screw-Footprint-1,
S2,4.9999899999999995,4.572,BottomLayer M4_Screw-Footprint-1,
P13,40.399995399999995,37.138000399999996,TopLayer,0.0
slot1,0.0,,amperry_powerbank_slot-Footprint-1 196.850,
DS7,40.14597,27.062785599999998,TopLayer,270.0
R75,53.85800759999999,32.7686924,TopLayer,180.0
R63,53.8280102,29.997298400000002,TopLayer,0.0
C2,91.19999539999999,105.42397,TopLayer,0.0
C1,97.04199539999999,102.6413238,TopLayer,180.0
